x,y,z
-2.9754846525862,-1.736842567917413,9.543871473001348
-2.896135647168925,-1.7555453605818203,9.646642474053747
-2.810601279338945,-1.7371029723492954,9.545302383594391
-2.7834305033252065,-1.7547161687149566,9.642086102192541
-2.7233604529827344,-1.7518848077970697,9.626527901816099
-2.683468717024738,-1.7621862139404212,9.683133663351079
-3.1882586938431734,-1.7127188183517257,9.688115869139583
-3.135984965353939,-1.7147204111106529,9.699438021009197
-3.071890833666114,-1.7102140150981475,9.67394727129968
-3.001405373673031,-1.7019165774209004,9.627012224651745
-2.943376312089723,-1.7005025730265084,9.619013808177565
-2.8632760241842075,-1.686037561692692,9.537191442270883
-2.847484018758345,-1.7096156777978155,9.670562733784047
-2.776592470699988,-1.7003937887773135,9.618398462331156
-2.6848120335050525,-1.6777420062214647,9.490267042455235
-2.6570856269614644,-1.6950077388066283,9.587931887413044
-2.574636371376909,-1.6773566499559447,9.488087247318257
-2.505851393894565,-1.6680338246707027,9.435352022701474
-3.3393990401142224,-1.6540912452989531,9.64001467370762
-3.2400951048678737,-1.6321051749137656,9.511880242349772
-3.1921619925669087,-1.6356836939161639,9.532735788131363
-3.149140210151588,-1.6419485218301204,9.569247094983652
-3.047071253496282,-1.6171003771934596,9.424432545246692
-3.006243383328135,-1.6244406314488644,9.467211417894708
-2.9468085645784274,-1.621812184930146,9.451892877831389
-2.8599763076122793,-1.603721535778526,9.34646089288246
-2.8781530342934567,-1.6449508796231416,9.586744783374607
-2.7901921127180245,-1.625946779084578,9.475989219814835
-2.7395595798416594,-1.6283701813015925,9.490112765295601
-2.688128426124099,-1.6304081170559792,9.501989819014494
-2.6383418085984385,-1.6335491937643711,9.520295958803453
-2.620968693040064,-1.6573199984389704,9.658831790197421
-2.5659231909567977,-1.6577850380265426,9.661542032731376
-2.492062207718072,-1.6458443494415287,9.59195190975548
-2.4245635577330544,-1.637658305775425,9.544243791303652
-2.344311889097959,-1.658855263402872,9.667779287393904
-3.453849090433242,-1.6054252983368176,9.648777590816016
-3.377545527875544,-1.5956947298890363,9.590295834684403
-3.341525762682834,-1.6049887673508856,9.64615399294502
-3.1810561238425694,-1.5538094331791883,9.33856072580245
-3.0835236279740665,-1.5321374245062105,9.208309637914132
-3.071030507338404,-1.552700557368542,9.331896263691476
-2.9619804858216896,-1.5243075468527558,9.161251236554849
-2.914160445183548,-1.5269654249819442,9.17722536811899
-2.9245094707115693,-1.560765678069837,9.380368500905192
-2.8752631387320178,-1.5634361909554133,9.396418568705313
-2.8105962372459046,-1.5576631676356116,9.36172208167657
-2.760689422353405,-1.560004348736989,9.375792830262888
-2.7780856904479303,-1.6012312857922575,9.62357112727176
-2.665198420377132,-1.5675157060766947,9.420936890501038
-2.6257841098744343,-1.57650812126812,9.47498226668654
-2.5655908677065544,-1.5731421843556939,9.454752626175479
-2.521034426228953,-1.5794263473198,9.49252111708435
-2.46784896814218,-1.5804635984437563,9.498755107174851
-2.4215584982029688,-1.5860640529584151,9.53241443724484
-2.3873272078711514,-1.6000071592757117,9.616213996103209
-3.4312264821304863,-1.5450688790388496,9.585578386009399
-3.3103071988781045,-1.5150557459830412,9.399377470685064
-3.2731172308845937,-1.5230019500210084,9.448675571702113
-3.1906382432710902,-1.5097870784176557,9.366690755792945
-3.1544000446853966,-1.5183745858443378,9.4199674910218
-3.0584525397826026,-1.4980180259077336,9.293675774458844
-3.046165865395216,-1.5186429193471644,9.421632227047379
-2.9900610958288785,-1.517775444374482,9.416250428564894
-2.9714429751633733,-1.5362566990838946,9.530907786623311
-2.8412788159162625,-1.4966771666514278,9.285357108747373
-2.7782127707191497,-1.491599774621836,9.253857063696673
-2.70290492244799,-1.4796218719418763,9.179546379819481
-2.706812868199252,-1.5113963793451823,9.376674828604688
-2.641320734819923,-1.5049262239467527,9.336534105700547
-2.632560550732298,-1.5311836429511612,9.499434641395512
-2.5540662929382614,-1.5171358015262668,9.412282096315247
-2.4964160773981607,-1.5151278758122364,9.399824962794378
-2.476015067423096,-1.536140427188479,9.530186437961959
-2.3702540970564616,-1.503946470549892,9.330455733977464
-2.403605800983116,-1.5605760490495544,9.681784578302425
-2.3043766298274955,-1.5317726860736003,9.503089053894191
-2.256511734831512,-1.536540065544595,9.532665786837969
-3.5891946066883462,-1.4918781732750392,9.564103718517554
-3.4805871250793166,-1.469339810710771,9.419615220011668
-3.4726694640752425,-1.489267146636447,9.547364999478258
-3.3941369813173297,-1.4790654299251371,9.4819640314356
-3.333155056065136,-1.476302626688304,9.464252305917876
-3.2578330923666927,-1.4669904625454142,9.404554064263907
-3.24320981451388,-1.4851582915931016,9.521024031091649
-3.100492726309501,-1.4442834461235656,9.258984362872072
-3.0867440896353138,-1.463104950737879,9.37964490037071
-3.054207362777697,-1.4735341422171977,9.446504159253434
-2.975386542655729,-1.4616063299104307,9.37003757097532
-2.8837560969043974,-1.442827715547809,9.249651993472105
-2.855473441712813,-1.4556332452283582,9.331745435302189
-2.8137892974100773,-1.4619682467128143,9.372357740207283
-2.73620068605297,-1.4495309129230836,9.292624721467769
-2.722397827416573,-1.471063078375144,9.430662711001265
-2.7131579806541386,-1.4959900763953584,9.590464227457032
-2.625443481526492,-1.4777846340469751,9.473753130009177
-2.5910785116071775,-1.489472279402703,9.54868006064591
-2.5009054675847806,-1.4688895954388363,9.416728988660088
-2.4506871361565814,-1.4713807423501084,9.432699185063704
-2.436505810969749,-1.4961133054154017,9.591254221673676
-2.3107504406425896,-1.4518919563598616,9.3077608530352
-2.3329686664961367,-1.5007533649924385,9.62100062580362
-2.2819231573505503,-1.5037196301738038,9.640016701217425
-2.2135416105427015,-1.495124675994938,9.584916335319502
-3.591085773835612,-1.442908777328963,9.569143099417044
-3.492621949314,-1.4252730013129489,9.45218541850328
-3.372541938645775,-1.3981161840412504,9.27208569585924
-3.3021811338186793,-1.3910273075082806,9.225073386402185
-3.313886909018262,-1.418842869245396,9.409541798290183
-3.207494453571439,-1.396179050315845,9.259238930968513
-3.226565932612749,-1.4282853638357396,9.472162930942611
-3.192946499549748,-1.4377722644024347,9.535078557016142
-3.071597759520268,-1.4073947929780455,9.333619964743567
-3.0170923757037844,-1.4071067092576564,9.331709439013649
-2.935150885004976,-1.393779894775775,9.243328110380679
-2.880092116701312,-1.3929613682109068,9.237899771491232
-2.859270869937939,-1.408983423008664,9.344155508177687
-2.742190009506289,-1.377274967451649,9.133870039370528
-2.72014214026749,-1.3929896060969271,9.23808704069106
-2.7257641825030867,-1.4237860371573083,9.442324107093585
-2.611795664997388,-1.3920972326195316,9.232168960742078
-2.5992026568733784,-1.414247300182848,9.379064710151471
-2.518021848602857,-1.399226718952136,9.279450587975864
-2.443827945752286,-1.3875199893730579,9.201813406520952
-2.415966943884405,-1.4021837427450128,9.299061102699325
-2.4313574371694475,-1.44318692875928,9.57098775576804
-2.333769590085724,-1.4174768486626794,9.40048256555271
-2.283228719013274,-1.4197980701177209,9.415876539598559
-2.234539527953376,-1.4234120506499854,9.439843887649324
-2.185096772100572,-1.426714705331436,9.461746571832355
-2.1529837133276737,-1.4417919319559591,9.561736357312403
-2.0987988464020724,-1.4424928648840787,9.566384833777203
-2.058270995176779,-1.4528717638604065,9.635216052409561
-3.6132092187013303,-1.380497615928288,9.482215068434776
-3.627241801540429,-1.407179948384527,9.665487833239522
-3.4709299647265843,-1.3675788119882555,9.393479763155774
-3.4111721051430126,-1.36536752496848,9.378291110268862
-3.2833308658259313,-1.3353940805438156,9.17241270591875
-3.250622533751003,-1.3437645925898631,9.229907188008221
-3.2139310441121967,-1.350740093684485,9.27781976737536
-3.195268612139676,-1.365657670934415,9.380284033993242
-3.10951481719839,-1.3519204077866471,9.285926983234244
-3.03674713719431,-1.3434461465252667,9.22771987957874
-3.016015192431224,-1.3581007365157771,9.328377767304474
-2.919766692660755,-1.338665119336897,9.194880468974128
-2.8722594092745184,-1.3412705466434358,9.212776350705994
-2.831607147622164,-1.3472358075107265,9.253749899541086
-2.7708071259801335,-1.343660156204762,9.229189846483635
-2.7120422937861672,-1.3409505686359056,9.210578519829966
-2.696453449615974,-1.3599076278213964,9.340788749958465
-2.6132359925519713,-1.3448351075308265,9.237260227076938
-2.623017791789128,-1.3779913325722994,9.465000176116442
-2.5165679503610634,-1.350197471389241,9.27409266111667
-2.4636754713085542,-1.3505546260605727,9.276545847103511
-2.4513691606047274,-1.3736708781048323,9.435324298388576
-2.405779050584672,-1.3787627740704416,9.470298971357881
-2.3225118277663888,-1.3619964189312503,9.355136015979172
-2.243303693049602,-1.346868722856498,9.251228507544784
-2.24989293368754,-1.3837718192476285,9.504704567651254
-2.226918242814559,-1.4038825264021528,9.642838852142058
-2.170997281472965,-1.4037221712967851,9.641737422064324
-2.098112833715406,-1.3922964972485683,9.563257968440512
-2.0600771936818307,-1.4040037153786893,9.643671262083357
-3.654682766726919,-1.3263773663840974,9.447904832115553
-3.5523188799027,-1.3087606483118908,9.322419370723699
-3.508683193838501,-1.3125716498245088,9.349565475986653
-3.4517436542217816,-1.3114471112860548,9.341555287211852
-3.3753316229322725,-1.3027711080292088,9.279755338591446
-3.317166655853476,-1.3009716159605667,9.266937395341234
-3.2651892912978817,-1.301579645010984,9.271268440750402
-3.143188751800971,-1.2738298774447283,9.073604359830474
-3.1017621501507713,-1.2783468339629729,9.105779045856304
-3.122196364979647,-1.3089541667040905,9.323797819571745
-3.0554391743507288,-1.3034398860319043,9.284519104231165
-2.9948303181005755,-1.300398361907371,9.262854055353321
-2.9738800377252623,-1.3147796572637795,9.36529331082728
-2.8545272624356777,-1.2853833055108732,9.155900463202023
-2.7766758042175907,-1.2739181522466891,9.074233149154793
-2.725607568999984,-1.2745362811249674,9.078636136542821
-2.6821582929354992,-1.2788112512734648,9.109087131973517
-2.636440804759291,-1.2821541430978485,9.132898849981743
-2.621079946623251,-1.3006978052113631,9.264987016839575
-2.597197121028674,-1.3156970323863508,9.371827856027663
-2.50764814442576,-1.2973613662408576,9.241221263087734
-2.513551564744767,-1.3286854741280572,9.464345690396064
-2.430148441551951,-1.3131444682096243,9.35364571267179
-2.3583064082368375,-1.3032861328513408,9.283423906548803
-2.383914939651819,-1.3480764422607499,9.602469293952197
-2.2949896495903026,-1.328689981926103,9.464377799845472
-2.199813278793916,-1.3046504916020376,9.293142356184738
-2.1847521691878904,-1.3281111035707551,9.460254397449356
-2.1345614848213588,-1.330871980074996,9.479920368180144
-2.062229359894325,-1.3196099718153425,9.399700074203198
-2.003550035450234,-1.353287005459882,9.639584602517306
-3.725826460573763,-1.3021158444404357,9.631821984922803
-3.586766740101744,-1.2725094080521995,9.412821558718807
-3.464932282254623,-1.2481971831750587,9.232982704077838
-3.466089963804156,-1.2681238202627239,9.380381126427139
-3.3028226713342423,-1.2275706917324205,9.08040742085916
-3.2859353336562247,-1.2409924130644805,9.179688626255441
-3.269472802204548,-1.255017256617356,9.283431159644046
-3.17634767027687,-1.2395914887158463,9.169325912370958
-3.140188908867568,-1.2462511360593989,9.218587687326954
-3.046557651940708,-1.22993797536935,9.097918347153529
-3.029771018937656,-1.2446199411180912,9.2065216492978
-2.9644169436983465,-1.2395186436924739,9.1687870737564
-2.8948909868378374,-1.232455729507128,9.116542311956984
-2.8811004878867315,-1.2492991649704537,9.241134123576483
-2.764448363295238,-1.2213339122941136,9.03427362288298
-2.737613973899964,-1.2327376743922704,9.118627873663993
-2.7705482760512767,-1.272029986703404,9.409275252829753
-2.639949895805667,-1.2363102888639679,9.14505469794316
-2.5663548506760008,-1.2263725743074687,9.071544880860557
-2.5715531449730675,-1.25445784049327,9.279293128035183
-2.5437000569118164,-1.267272017266586,9.374080293164065
-2.444747561645449,-1.2444515514658883,9.205276061847924
-2.4048485371081343,-1.2513448726642495,9.256266335064394
-2.365752571531541,-1.2589788892902087,9.312735572793986
-2.3623587008431297,-1.286409354613007,9.51564022223885
-2.2428146319494577,-1.250391157720363,9.249211653560366
-2.2456884589378214,-1.2825297674920908,9.486942704515517
-2.1661238255317525,-1.2680170449035189,9.379591303266144
-2.172572734690842,-1.3044021964355592,9.648734255444609
-2.059357624674413,-1.2689659793805539,9.386610623395901
-2.0500389262654246,-1.2973650284865998,9.596679939961254
-2.00009350807295,-1.3009170419448743,9.622954377419504
-3.7619994776651167,-1.2455990904358578,9.582315049064059
-3.6680169408208383,-1.2326080346663533,9.482375678395607
-3.6220704298103503,-1.235610014142463,9.505469716703587
-3.484762181265089,-1.207058315997465,9.28582330807028
-3.4652565827757824,-1.2190566486882564,9.378125722859629
-3.321489233220473,-1.1870274544588684,9.131727156715636
-3.2998767807830447,-1.1983246640541072,9.218635875859777
-3.20507315277798,-1.1829777479559471,9.100573020633488
-3.169817728477692,-1.1894645520104559,9.15047559409322
-3.1897409378253814,-1.2172278063965323,9.364056554738914
-3.118366433844413,-1.2105078710907875,9.31236051730327
-3.0297613202107767,-1.1967461124164231,9.206492177915832
-2.9679456402693805,-1.193263563371857,9.179701148301982
-2.9144722661114137,-1.1930693853911487,9.178207349373402
-2.8022018066644727,-1.1683530944109524,8.988066485563273
-2.826285072063712,-1.2006282540549047,9.236357248090217
-2.784019918454087,-1.2054174071545323,9.273199900088924
-2.704240872600992,-1.1938332230787947,9.184083504410417
-2.653098907848296,-1.1946808457199571,9.190604211797492
-2.627817950331167,-1.2074458387298468,9.288804495949165
-2.56844958769192,-1.2047537113642708,9.268094130336959
-2.5089727915190667,-1.2018950815276777,9.246102871742426
-2.443483400409478,-1.1959692832623083,9.20051608034866
-2.4063963344443375,-1.2039906320981937,9.262223809789116
-2.367081915360408,-1.2112368501354556,9.317968507003815
-2.3508404534105956,-1.230901112238908,9.469244432082345
-2.2640828024641944,-1.213700357122962,9.336920110502176
-2.211071513180764,-1.214192083030942,9.340702926822638
-2.1500779056730606,-1.210215383939694,9.310110432142563
-2.135297737958565,-1.2327139116266108,9.483190183156744
-2.0692243782540154,-1.2260056001146524,9.431583566831776
-2.0473822292580963,-1.245849750494934,9.584243361050417
-1.9971534672103048,-1.2490430353084743,9.608809099223869
-1.9289175346990477,-1.2408351310350991,9.545666210597863
-3.845488129996885,-1.2045978443673653,9.653015682692228
-3.732535010392075,-1.1864096611134876,9.50726511621868
-3.675549930588677,-1.1857338587529056,9.501849590352014
-3.5320764156770914,-1.156713628715751,9.269296679043167
-3.3874968487227486,-1.1264326768417583,9.026641003795792
-3.4090266987930855,-1.1513042976502879,9.225949135419421
-3.322817216365251,-1.1400019646680704,9.135378163506669
-3.200023746798474,-1.115581256709833,8.939683411099809
-3.238776144183109,-1.147600672272956,9.196270223060932
-3.195924925428133,-1.1512907510453938,9.225840580028835
-3.1125601772265807,-1.1402640765585947,9.137478590800049
-3.051385663241045,-1.137126564113188,9.112336210725424
-3.0111260600233614,-1.1418098339954124,9.14986548062308
-2.9216492711213284,-1.1276640885747533,9.036508891926285
-2.868403451313103,-1.1272422136947875,9.033128207782209
-2.8907769968365264,-1.157072382086986,9.272171540504146
-2.7805431666474614,-1.133948861590329,9.08687176843747
-2.737030974275472,-1.1376693708639158,9.11668597949012
-2.6605629740979158,-1.1275688355437672,9.035745584066959
-2.637521621213891,-1.1401597918745936,9.13664290800779
-2.6117457650352245,-1.1520584571690267,9.231992574477257
-2.5459345302062655,-1.14642511392884,9.186849914710946
-2.515106759720094,-1.1566401501335524,9.268707860202408
-2.4297588562611194,-1.1416816987757925,9.148838672140661
-2.431714301555384,-1.1679916351353723,9.359672710635092
-2.4003260879279398,-1.1791179914503471,9.448833497782346
-2.2785241076180056,-1.1453147916060216,9.177952373639352
-2.2707512508006134,-1.1685840893244424,9.36442032794581
-2.2197572388646822,-1.170203308047136,9.37739589800594
-2.1918631780028286,-1.1843856770447623,9.491045968850715
-2.091839926144296,-1.1593205606570682,9.29018726508474
-2.0435953260608195,-1.1623876882716107,9.314765618020067
-2.0294584816518855,-1.1855452756201543,9.500338383980152
-1.9331739611257743,-1.1938302790698319,9.566730058682925
-3.7234171290923905,-1.1341985068041882,9.484040654941566
-3.667776041951523,-1.1339249159089588,9.481752918573008
-3.5500665228251487,-1.1141632955403336,9.316508466337172
-3.4559597795500205,-1.1013151522818307,9.209073733992573
-3.3548021070357468,-1.0857834675873195,9.07919952925787
-3.347180458759375,-1.100512220557581,9.20235970900467
-3.311233603582635,-1.106252901692335,9.250362640539528
-3.2030531955410195,-1.08765361575451,9.09483749839819
-3.158789048812313,-1.090499987339607,9.118638538225156
-3.132274300793826,-1.0996742790290275,9.195352935961331
-3.04586993968595,-1.0877764513460684,9.095864635832445
-3.0190578231712646,-1.0971168038299812,9.173967615299873
-2.976003163470584,-1.1007828458732796,9.204622647529929
-2.8527843613245256,-1.0743914588788597,8.983940830640016
-2.8244520441184022,-1.0834197221912312,9.059434155471935
-2.7860422273558445,-1.0888501532841246,9.10484281096733
-2.7212360850750894,-1.083974758315727,9.064075305268998
-2.7535859184616407,-1.118368039821712,9.351668066238771
-2.6440652638819087,-1.0953639862234323,9.159310751142957
-2.5670414439792495,-1.085158288179761,9.073971849198033
-2.5395513661662745,-1.0959028483137687,9.163816655481128
-2.471631700085449,-1.0892866731055488,9.10849294073583
-2.401238808932128,-1.081269153797658,9.041451343862223
-2.392118220812052,-1.1010991234087872,9.207267324794978
-2.365378421876315,-1.1135359580334452,9.311262740492882
-2.306240839125133,-1.1109448355218414,9.289596064779095
-2.2787319553892726,-1.1238290234927166,9.39733219896428
-2.211859305073811,-1.117454717185817,9.344030964833733
-2.136734123911796,-1.1064881980406511,9.252330162203506
-2.104523830427772,-1.1177521974759417,9.346518461641974
-2.066844264009597,-1.126627762248016,9.42073493841296
-2.025087294859232,-1.133700443316568,9.479875903941636
-1.8439345221878292,-1.1574116432987023,9.678146297756248
-3.9032274939611113,-1.1047829433834573,9.657983332914839
-3.8422411473939615,-1.1032823341605091,9.644865046692873
-3.7095009310151577,-1.080830789984545,9.448594240062215
-3.671486998672093,-1.0857212257031508,9.491346300042736
-3.6089337403902086,-1.0833932099459183,9.4709948477355
-3.4388904251944967,-1.0482288722339044,9.163589135536936
-3.4127738314245786,-1.056522305535788,9.236090110576365
-3.274416865238199,-1.0297802432130123,9.002311707544402
-3.22918196963532,-1.0319341045979404,9.021140706925344
-3.2538639152802635,-1.056867850557172,9.239110856033456
-3.085906725205146,-1.0190199367521335,8.908245392456339
-3.089990637429372,-1.037662897035902,9.071221659220026
