x,y,z
-3.063644232712825488e+00,-1.839397228197475087e+00,9.826643458099969308e+00
-3.023106789224425217e+00,-1.849305133917562571e+00,9.879574633288909169e+00
-2.973436041223154191e+00,-1.853899613549992553e+00,9.904119800874941149e+00
-2.950557145666897974e+00,-1.875706185496132772e+00,1.002061742535386735e+01
-2.839652546808550948e+00,-1.841306795776312732e+00,9.836844973829540706e+00
-2.761840408379994560e+00,-1.827399306484039476e+00,9.762546754512097635e+00
-2.782853942405941972e+00,-1.879663602962865276e+00,1.004175920477176120e+01
-2.661306434860077008e+00,-1.835811061978847247e+00,9.807485020612014992e+00
-2.680336829046284119e+00,-1.889132843198507938e+00,1.009234688979613281e+01
-3.266163883804643397e+00,-1.806174125379845563e+00,9.924845250168655042e+00
-3.137421603164680217e+00,-1.765962005393490353e+00,9.703881466866834060e+00
-3.098258676438200965e+00,-1.775625956371841063e+00,9.756984441058303759e+00
-2.975484652586199985e+00,-1.736842567917413316e+00,9.543871473001349415e+00
-2.983218355851872783e+00,-1.774212656053801407e+00,9.749218419636859423e+00
-2.896135647168925242e+00,-1.755545360581820313e+00,9.646642474053749083e+00
-2.810601279338945435e+00,-1.737102972349295449e+00,9.545302383594393092e+00
-2.783430503325206473e+00,-1.754716168714956614e+00,9.642086102192541475e+00
-2.723360452982734436e+00,-1.751884807797069676e+00,9.626527901816100297e+00
-2.683468717024738659e+00,-1.762186213940421187e+00,9.683133663351078724e+00
-2.638396886385629969e+00,-1.769451925591764896e+00,9.723058420747749508e+00
-2.614001911720043925e+00,-1.791202014793763730e+00,9.842574178654981409e+00
-2.544266888684803440e+00,-1.782159837081885856e+00,9.792887820482819805e+00
-2.465098156546430719e+00,-1.765948524995410329e+00,9.703807392688172939e+00
-2.456450054000479000e+00,-1.800677684841835324e+00,9.894642557637538971e+00
-3.320270397419501140e+00,-1.723172734880302315e+00,9.747249191860142048e+00
-3.258805429927842834e+00,-1.720433182398058536e+00,9.731752718304074179e+00
-3.188258693843173841e+00,-1.712718818351725680e+00,9.688115869139585001e+00
-3.135984965353939113e+00,-1.714720411110652876e+00,9.699438021009195054e+00
-3.071890833666114151e+00,-1.710214015098147744e+00,9.673947271299681461e+00
-3.001405373673030841e+00,-1.701916577420900412e+00,9.627012224651744887e+00
-2.943376312089723168e+00,-1.700502573026508424e+00,9.619013808177564684e+00
-2.863276024184207458e+00,-1.686037561692691922e+00,9.537191442270884778e+00
-2.847484018758345226e+00,-1.709615677797815758e+00,9.670562733784047182e+00
-2.776592470699987825e+00,-1.700393788777313508e+00,9.618398462331157361e+00
-2.684812033505052487e+00,-1.677742006221464965e+00,9.490267042455236890e+00
-2.657085626961464442e+00,-1.695007738806628250e+00,9.587931887413043697e+00
-2.574636371376909594e+00,-1.677356649955944912e+00,9.488087247318256701e+00
-2.505851393894564794e+00,-1.668033824670702936e+00,9.435352022701474439e+00
-2.522058801157355923e+00,-1.716129538743573990e+00,9.707408851735095823e+00
-2.468501404132328325e+00,-1.717861215708577527e+00,9.717204205709789377e+00
-2.427245236247025595e+00,-1.728433099331929901e+00,9.777004817696212768e+00
-2.403608797860796287e+00,-1.752354092489247783e+00,9.912315617653453259e+00
-2.345924323562061264e+00,-1.752013765609592877e+00,9.910390534441805954e+00
-2.371994296440313121e+00,-1.815770774449260383e+00,1.027103659174553840e+01
-3.447613929439585334e+00,-1.679697930534354455e+00,9.789249984707449670e+00
-3.339399040114222394e+00,-1.654091245298953128e+00,9.640014673707621995e+00
-3.240095104867873665e+00,-1.632105174913765611e+00,9.511880242349773695e+00
-3.192161992566909134e+00,-1.635683693916163861e+00,9.532735788131365240e+00
-3.149140210151588182e+00,-1.641948521830120411e+00,9.569247094983653668e+00
-3.047071253496282051e+00,-1.617100377193459781e+00,9.424432545246691717e+00
-3.006243383328135010e+00,-1.624440631448864414e+00,9.467211417894709768e+00
-2.946808564578427436e+00,-1.621812184930146117e+00,9.451892877831388873e+00
-2.859976307612279278e+00,-1.603721535778526164e+00,9.346460892882461735e+00
-2.878153034293456702e+00,-1.644950879623141793e+00,9.586744783374607337e+00
-2.790192112718024475e+00,-1.625946779084578075e+00,9.475989219814836773e+00
-2.739559579841659431e+00,-1.628370181301592501e+00,9.490112765295600994e+00
-2.688128426124098969e+00,-1.630408117055979211e+00,9.501989819014491800e+00
-2.638341808598438476e+00,-1.633549193764371354e+00,9.520295958803453473e+00
-2.620968693040063968e+00,-1.657319998438970599e+00,9.658831790197421441e+00
-2.565923190956797661e+00,-1.657785038026542646e+00,9.661542032731375684e+00
-2.492062207718071853e+00,-1.645844349441528687e+00,9.591951909755479733e+00
-2.424563557733054431e+00,-1.637658305775425038e+00,9.544243791303653524e+00
-2.411074907267018119e+00,-1.666420666948121632e+00,9.711870326141616161e+00
-2.344311889097959067e+00,-1.658855263402872149e+00,9.667779287393905463e+00
-2.347885169873764610e+00,-1.701905302444785661e+00,9.918674157460596774e+00
-2.279144604801213614e+00,-1.693379448945586896e+00,9.868985633280479064e+00
-2.259943123968809697e+00,-1.722167137687012906e+00,1.003675977674335584e+01
-3.617526309352122826e+00,-1.654815509999065348e+00,9.945618040500006529e+00
-3.453849090433242175e+00,-1.605425298336817574e+00,9.648777590816015604e+00
-3.377545527875544185e+00,-1.595694729889036267e+00,9.590295834684404497e+00
-3.341525762682834078e+00,-1.604988767350885581e+00,9.646153992945020406e+00
-3.181056123842569860e+00,-1.553809433179188293e+00,9.338560725802450335e+00
-3.083523627974066539e+00,-1.532137424506210488e+00,9.208309637914132040e+00
-3.071030507338404103e+00,-1.552700557368541956e+00,9.331896263691477955e+00
-2.961980485821689602e+00,-1.524307546852755824e+00,9.161251236554846855e+00
-2.914160445183548109e+00,-1.526965424981944208e+00,9.177225368118987703e+00
